Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
skincare,SKU39,19.12747727,26,176,1912.465663,Female,78,29,34,3,Carrier A,5.562503779,Supplier 2,Kolkata,30,791,6,9.005807429,Fail,1.451972204,Air,Route B,653.6729946
skincare,SKU40,80.54142417,97,933,5724.95935,Female,90,20,39,8,Carrier C,7.22959514,Supplier 1,Kolkata,18,793,1,88.1794071,Pending,4.213269431,Road,Route A,529.808724
skincare,SKU41,99.11329162,35,556,5521.205259,Female,64,19,38,8,Carrier B,5.773263744,Supplier 4,Chennai,18,892,7,95.33206455,Fail,0.045302262,Sea,Route A,275.5243711
skincare,SKU42,46.52916761,98,155,1839.609426,Female,22,27,57,4,Carrier C,7.526248327,Supplier 5,Bangalore,26,179,7,96.42282064,Fail,4.939255289,Road,Route A,635.6571205
haircare,SKU43,11.74327178,6,598,5737.425599,Unknown,36,29,85,9,Carrier B,3.694021268,Supplier 5,Mumbai,1,206,23,26.27736596,Pending,0.372304768,Air,Route A,716.0441198
cosmetics,SKU44,51.35579091,34,919,7152.286049,Female,13,19,72,6,Carrier C,7.577449657,Supplier 2,Delhi,7,834,18,22.55410662,Fail,2.96262632,Rail,Route A,610.4532696
haircare,SKU45,33.78413803,1,24,5267.956808,Male,93,7,52,6,Carrier B,5.215155009,Supplier 2,Chennai,25,794,25,66.31254444,Pass,3.219604612,Rail,Route A,495.305697
haircare,SKU46,27.0822072,75,859,2556.767361,Non-binary,92,29,6,8,Carrier B,4.070955837,Supplier 3,Chennai,18,870,23,77.32235321,Pending,3.648610593,Road,Route B,380.4359371
skincare,SKU47,95.71213588,93,910,7089.47425,Male,4,15,51,9,Carrier B,8.978750756,Supplier 1,Kolkata,10,964,20,19.71299291,Pending,0.380573587,Rail,Route A,581.6023551
haircare,SKU48,76.03554443,28,29,7397.071005,Non-binary,30,16,9,3,Carrier C,7.095833157,Supplier 2,Mumbai,9,109,18,23.12636358,Fail,1.698112541,Rail,Route B,768.651914
cosmetics,SKU49,78.89791321,19,99,8001.613207,Unknown,97,24,9,6,Carrier C,2.505621033,Supplier 5,Delhi,28,177,28,14.14781544,Pass,2.825813985,Rail,Route A,336.8901685
cosmetics,SKU50,14.20348426,91,633,5910.88539,Female,31,23,82,10,Carrier A,6.247860915,Supplier 2,Delhi,20,306,21,45.17875792,Fail,4.754800805,Rail,Route B,496.2486503
haircare,SKU51,26.70076097,61,154,9866.465458,Male,100,4,52,1,Carrier A,4.783000558,Supplier 5,Bangalore,18,673,28,14.19032834,Pending,1.772951172,Road,Route A,694.9823176
skincare,SKU52,98.03182966,1,820,9435.762609,Male,64,11,11,1,Carrier B,8.63105218,Supplier 1,Mumbai,10,727,27,9.166849149,Pending,2.122471619,Air,Route C,602.8984988
skincare,SKU53,30.34147071,93,242,8232.334829,Male,96,25,54,3,Carrier B,1.013486566,Supplier 1,Delhi,1,631,17,83.34405899,Pending,1.410347576,Air,Route B,750.7378407
haircare,SKU54,31.14624316,11,622,6088.02148,Non-binary,33,22,61,3,Carrier B,4.305103471,Supplier 1,Kolkata,26,497,29,30.18602338,Pass,2.478771976,Road,Route B,814.0699966
haircare,SKU55,79.85505834,16,701,2925.67517,Male,97,11,11,5,Carrier A,5.014364955,Supplier 2,Delhi,27,918,5,30.32354526,Fail,4.548919659,Sea,Route B,323.012928
skincare,SKU56,20.98638604,90,93,4767.020484,Non-binary,25,23,83,5,Carrier C,1.774429714,Supplier 1,Mumbai,24,826,28,12.83628457,Pass,1.173755495,Air,Route B,832.2108087
haircare,SKU57,49.26320535,65,227,1605.8669,Unknown,5,18,51,1,Carrier B,9.160558535,Supplier 2,Delhi,21,588,25,67.77962299,Pending,2.51117483,Rail,Route A,482.1912386
skincare,SKU58,59.84156138,81,896,2021.14981,Non-binary,10,5,44,7,Carrier A,4.938438565,Supplier 3,Delhi,18,396,7,65.04741509,Fail,1.73037472,Road,Route B,110.3643352
cosmetics,SKU59,63.82839835,30,484,1061.618523,Non-binary,100,16,26,7,Carrier B,7.293722597,Supplier 1,Kolkata,11,176,4,1.900762244,Fail,0.447194015,Air,Route A,312.5742736
skincare,SKU60,17.02802792,16,380,8864.08435,Female,41,27,72,8,Carrier C,4.381368158,Supplier 4,Mumbai,29,929,24,87.21305782,Fail,2.853090617,Rail,Route A,430.169097
haircare,SKU61,52.0287499,23,117,6885.589351,Unknown,32,23,36,7,Carrier C,9.030340423,Supplier 4,Kolkata,14,480,12,78.70239397,Fail,4.367470538,Air,Route A,164.3665282
cosmetics,SKU62,72.79635396,89,270,3899.746834,Unknown,86,2,40,7,Carrier C,7.291701389,Supplier 2,Mumbai,13,751,14,21.04864273,Pass,1.874001404,Sea,Route C,320.8465158
skincare,SKU63,13.01737679,55,246,4256.949141,Non-binary,54,19,10,4,Carrier A,2.457933528,Supplier 3,Bangalore,18,736,10,20.07500398,Pending,3.63284329,Sea,Route A,687.2861779
skincare,SKU64,89.63409561,11,134,8458.730878,Female,73,27,75,6,Carrier C,4.585353468,Supplier 1,Delhi,17,328,6,8.693042426,Fail,0.159486315,Air,Route C,771.2250847
skincare,SKU65,33.69771721,72,457,8354.579686,Male,57,24,54,8,Carrier C,6.580541348,Supplier 5,Kolkata,16,358,21,1.597222743,Fail,4.911095955,Rail,Route C,555.8591037
skincare,SKU66,26.03486977,52,704,8367.721618,Female,13,17,19,8,Carrier A,2.216142729,Supplier 5,Kolkata,24,867,28,42.08443674,Fail,3.448063288,Road,Route A,393.8433486
skincare,SKU67,87.75543235,16,513,9473.798033,Unknown,12,9,71,9,Carrier C,9.147811545,Supplier 1,Mumbai,10,198,11,7.057876147,Pass,0.131955444,Sea,Route C,169.2718014
haircare,SKU68,37.93181238,,163,3550.218433,Non-binary,0,8,58,8,Carrier B,1.194251865,Supplier 2,Bangalore,2,375,18,97.11358156,Fail,1.983467872,Rail,Route A,299.7063031
skincare,SKU69,54.86552852,62,511,1752.381087,Non-binary,95,1,27,3,Carrier B,9.70528679,Supplier 4,Kolkata,9,862,7,77.62776581,Pending,1.362387989,Air,Route A,207.6632062
haircare,SKU70,47.91454182,90,32,7014.887987,Female,10,12,22,4,Carrier B,6.315717755,Supplier 1,Bangalore,22,775,16,11.44078182,Pass,1.830575599,Road,Route C,183.2728987
cosmetics,SKU71,6.381533163,14,637,8180.337085,Female,76,2,26,6,Carrier A,9.228190317,Supplier 2,Bangalore,2,258,10,30.66167748,Pending,2.078750608,Road,Route A,405.1670679
cosmetics,SKU72,90.20442752,88,478,2633.121981,Non-binary,57,29,77,9,Carrier A,6.59961416,Supplier 1,Bangalore,21,152,11,55.7604929,Pending,3.213329607,Rail,Route B,677.9445698
cosmetics,SKU73,83.85101768,41,375,7910.886916,Male,17,25,66,5,Carrier B,1.512936837,Supplier 4,Chennai,13,444,4,46.8702388,Fail,4.620546065,Road,Route A,866.4728001
haircare,SKU74,3.170011414,64,904,5709.945296,Female,41,6,1,5,Carrier A,5.23765465,Supplier 4,Delhi,1,919,9,80.58085216,Fail,0.396612724,Rail,Route A,341.5526568
skincare,SKU75,92.99688423,29,106,1889.07359,Non-binary,16,20,56,10,Carrier C,2.473897761,Supplier 1,Chennai,25,759,11,48.06478264,Pass,2.030069089,Air,Route C,873.129648
haircare,SKU76,69.10879955,23,241,5328.375984,Male,38,1,22,10,Carrier A,7.054538337,Supplier 2,Bangalore,25,985,24,64.3235978,Pending,2.180037452,Rail,Route A,997.4134501
haircare,SKU77,57.44974296,14,359,2483.760178,Unknown,96,28,57,4,Carrier B,6.780946626,Supplier 1,Kolkata,26,334,5,42.95244475,Pass,3.055141818,Road,Route B,852.5680989
haircare,SKU78,6.306883176,50,946,1292.458418,Unknown,5,4,51,5,Carrier B,8.467049771,Supplier 5,Mumbai,25,858,21,71.12651472,Pending,4.096881332,Sea,Route C,323.5922034
haircare,SKU79,57.05703122,56,198,7888.723268,Non-binary,31,25,20,1,Carrier B,6.496325364,Supplier 3,Bangalore,5,228,12,57.87090292,Pending,0.165871627,Air,Route C,351.5042193
skincare,SKU80,91.12831835,75,872,8651.672683,Unknown,39,14,41,2,Carrier C,2.833184679,Supplier 3,Chennai,8,202,5,76.96122802,Fail,2.849662199,Sea,Route B,787.7798505
haircare,SKU81,72.81920693,9,774,4384.4134,Unknown,48,6,8,5,Carrier B,4.066277502,Supplier 3,Delhi,28,698,1,19.78959294,Pending,2.547547122,Rail,Route B,276.7783359
skincare,SKU82,17.03493074,13,336,2943.381868,Unknown,42,19,72,1,Carrier A,4.708181874,Supplier 2,Mumbai,6,955,26,4.465278435,Pending,4.137877049,Road,Route C,589.9785556
haircare,SKU83,68.91124621,82,663,2411.754632,Unknown,65,24,7,8,Carrier B,4.949839578,Supplier 1,Bangalore,20,443,5,97.7305938,Fail,0.773006134,Road,Route A,682.9710182
haircare,SKU84,89.10436729,99,618,2048.2901,Unknown,73,26,80,10,Carrier A,8.381615625,Supplier 5,Chennai,24,589,22,33.80863651,Pass,4.843456577,Air,Route B,465.457006
cosmetics,SKU85,76.96299442,83,25,8684.613059,Female,15,18,66,2,Carrier C,8.249168705,Supplier 5,Chennai,4,211,2,69.92934552,Fail,1.374429,Road,Route B,842.68683
skincare,SKU86,19.99817694,18,223,1229.591029,Unknown,32,14,22,6,Carrier B,1.45430531,Supplier 1,Mumbai,4,569,18,74.60897,Pass,2.051512931,Rail,Route A,264.2548898
haircare,SKU87,80.41403665,24,79,5133.846701,Male,5,7,55,10,Carrier A,6.575803798,Supplier 3,Chennai,27,523,17,28.69699682,Fail,3.693737788,Sea,Route B,879.3592177
cosmetics,SKU88,75.27040698,58,737,9444.742033,Male,60,18,85,7,Carrier A,3.801253133,Supplier 2,Mumbai,21,953,11,68.18491906,Pending,0.722204402,Sea,Route A,103.916248
cosmetics,SKU89,97.76008558,10,134,5924.682567,Unknown,90,1,27,8,Carrier B,9.929816245,Supplier 1,Kolkata,23,370,11,46.60387338,Pending,1.907665734,Rail,Route B,517.4999739
skincare,SKU90,13.8819135,56,-320,9592.63357,Non-binary,66,18,96,7,Carrier B,7.674430708,Supplier 3,Bangalore,8,585,8,85.67596334,Pass,1.219382224,Rail,Route B,990.0784725
cosmetics,SKU91,62.11196546,90,916,1935.206794,Male,98,22,85,7,Carrier B,7.471514084,Supplier 4,Delhi,5,207,28,39.7728825,Pending,0.626001858,Rail,Route B,996.778315
cosmetics,SKU92,47.71423308,44,276,2100.129755,Male,90,25,10,8,Carrier B,4.469500026,Supplier 2,Mumbai,4,671,29,62.6126904,Pass,0.333431825,Rail,Route B,230.0927825
haircare,SKU93,69.290831,88,114,4531.402134,Unknown,63,17,66,1,Carrier C,7.006432059,Supplier 4,Chennai,21,824,20,35.63365234,Fail,4.165781795,Air,Route A,823.5238459
cosmetics,SKU94,3.037688725,97,987,7888.356547,Unknown,77,26,72,9,Carrier B,6.942945942,Supplier 2,Delhi,12,908,14,60.38737861,Pass,1.463607498,Rail,Route B,846.665257
haircare,SKU95,77.90392722,65,672,7386.363944,Unknown,15,14,26,9,Carrier B,8.63033887,Supplier 4,Mumbai,18,450,26,58.89068577,Pending,1.21088213,Air,Route A,778.8642414
cosmetics,SKU96,24.42313142,29,324,7698.424766,Non-binary,67,2,32,3,Carrier C,5.352878044,Supplier 3,Mumbai,28,648,28,17.80375633,Pending,3.872047681,Road,Route A,188.7421411
haircare,SKU97,3.526111259,56,62,4370.91658,Male,46,19,4,9,Carrier A,7.904845611,Supplier 4,Mumbai,10,535,13,65.76515593,Fail,3.376237835,Road,Route A,540.1324229
skincare,SKU98,19.75460487,43,913,8525.95256,Female,53,1,27,7,Carrier B,1.409801095,Supplier 5,Chennai,28,581,9,5.604690864,Pending,2.908122169,Rail,Route A,882.1988635
haircare,SKU99,68.5178327,17,627,9185.185829,Unknown,55,8,59,6,Carrier B,1.311023756,Supplier 2,Chennai,29,921,2,38.07289852,Fail,0.346027291,Rail,Route B,210.743009
skincare,SKU100,15.09359797,56,192,10800.81305,Unknown,1,15,77,0,Carrier C,0.876731157,Supplier 2,Bangalore,14,682,20,62.31018085,Pass,3.564893222,Rail,Route B,640.1426099
skincare,SKU101,46.33138899,87,253,5211.971653,Female,42,0,1,5,Carrier B,5.064798826,Supplier 3,Mumbai,15,578,17,16.74427128,Pending,1.440799181,Road,Route B,517.3591234
skincare,SKU102,112.1547507,40,186,1784.095066,Unknown,87,10,51,7,Carrier B,1.631201269,Supplier 2,Chennai,31,773,13,8.974946452,Pass,1.650331536,Rail,Route C,666.28129
skincare,SKU103,34.17708322,1,429,7494.635754,Unknown,62,12,40,4,Carrier B,6.783543115,Supplier 3,Delhi,9,542,27,84.09525776,Pending,3.042241682,Rail,Route B,949.5066683
skincare,SKU104,29.34714923,7,742,7026.570702,Unknown,22,1,9,9,Carrier B,3.576397402,Supplier 1,Mumbai,16,795,3,71.21814817,Pending,4.477380976,Air,Route C,707.2634877
haircare,SKU105,25.25822363,76,470,8687.886267,Unknown,4,15,45,6,Carrier B,5.043917114,Supplier 4,Mumbai,19,658,10,19.86848254,Pending,0.386296332,Sea,Route A,167.0406721
skincare,SKU106,18.55280067,79,456,8120.399947,Female,14,28,33,2,Carrier B,1.335435689,Supplier 2,Chennai,19,776,8,1.236268896,Pending,1.426683069,Rail,Route A,893.448617
skincare,SKU107,119.4397565,13,306,5340.875531,Female,56,0,11,10,Carrier B,7.518169557,Supplier 3,Kolkata,19,365,30,29.16959369,Fail,2.665335545,Road,Route B,357.1713328
skincare,SKU108,38.32278338,15,1006,9395.654229,Unknown,17,40,42,4,Carrier C,8.738826468,Supplier 5,Bangalore,21,877,0,71.42945307,Fail,0.982134023,Rail,Route B,146.6677657
cosmetics,SKU109,59.31819643,54,459,7504.591211,Unknown,67,13,63,11,Carrier C,0.089581102,Supplier 3,Kolkata,12,108,22,40.20698178,Pending,3.152579663,Rail,Route B,907.4635692
haircare,SKU110,66.22720887,47,672,6797.041114,Male,44,13,26,9,Carrier A,3.094341152,Supplier 2,Chennai,13,379,9,15.41438667,Fail,1.870503902,Air,Route B,321.2934486
skincare,SKU111,58.73259949,70,520,7004.593108,Male,27,18,60,2,Carrier A,4.085287524,Supplier 5,Delhi,12,551,14,3.407168798,Pending,3.285176663,Rail,Route C,510.154741
skincare,SKU112,10.48908083,92,864,7086.147078,Unknown,31,13,46,6,Carrier B,5.241454001,Supplier 5,Kolkata,19,865,15,44.20901325,Pending,2.425612027,Rail,Route B,242.268141
skincare,SKU113,22.01298164,48,99,9580.040942,Unknown,62,20,24,6,Carrier B,7.574957341,Supplier 4,Chennai,7,358,31,69.7229103,Fail,2.588197469,Sea,Route B,269.7306746
haircare,SKU114,23.83111306,27,1289,4868.010156,Female,31,10,29,8,Carrier A,10.90213397,Supplier 4,Bangalore,22,284,16,66.20903659,Pending,2.126986611,Rail,Route A,622.3262175
skincare,SKU115,21.15337463,55,894,5198.714381,Unknown,37,8,29,10,Carrier B,6.038432556,Supplier 3,Chennai,10,216,14,65.25161212,Pending,1.167334842,Air,Route B,874.0076744
haircare,SKU116,51.05636155,56,771,3274.514141,Female,73,26,53,1,Carrier A,3.624058195,Supplier 2,Mumbai,11,270,24,95.59681499,Pending,2.249721472,Road,Route A,285.3197834
haircare,SKU117,30.78824389,104,382,10858.23363,Female,72,7,62,7,Carrier A,5.555824808,Supplier 1,Mumbai,17,644,24,24.51994086,Pass,4.324706288,Road,Route B,938.6652779
skincare,SKU118,61.82026233,87,511,11399.20323,Unknown,48,19,59,10,Carrier A,3.953726763,Supplier 5,Chennai,6,987,14,38.77068121,Fail,2.937216131,Air,Route C,787.6207906
skincare,SKU119,75.08265259,113,121,6587.332269,Non-binary,30,2,51,5,Carrier C,9.810245113,Supplier 1,Kolkata,18,258,32,62.94504328,Pending,2.501363197,Sea,Route A,557.5062435
skincare,SKU120,79.03799068,48,721,1923.125745,Unknown,66,11,55,6,Carrier B,3.599767828,Supplier 1,Kolkata,5,291,30,68.8185145,Pending,2.890956769,Rail,Route B,511.4079527
skincare,SKU121,61.63323829,45,98,2876.360722,Female,10,16,36,5,Carrier B,2.304570289,Supplier 2,Mumbai,5,536,15,59.72608662,Pending,2.676933763,Road,Route A,894.5105408
haircare,SKU122,56.60551155,48,384,6297.803591,Non-binary,16,10,77,4,Carrier C,1.770436451,Supplier 2,Kolkata,9,358,0,26.25081068,Fail,1.671608209,Rail,Route B,1181.509722
skincare,SKU123,50.42458633,77,789,7681.267605,Female,31,2,75,8,Carrier C,7.159051655,Supplier 1,Mumbai,9,694,18,24.0887828,Pending,3.267333816,Air,Route A,751.332338
cosmetics,SKU124,8.251799062,100,272,3474.461984,Non-binary,60,16,47,5,Carrier A,4.376946593,Supplier 1,Kolkata,8,318,6,48.64097801,Fail,0.980883758,Road,Route A,791.5082989
skincare,SKU125,69.03051602,40,399,7966.871494,Unknown,91,17,54,7,Carrier B,4.306156902,Supplier 1,Chennai,26,835,2,31.60898466,Pending,3.418759427,Air,Route A,396.5306103
haircare,SKU126,91.82653976,28,264,11364.9713,Non-binary,45,33,42,3,Carrier A,4.642831171,Supplier 1,Delhi,21,988,8,79.43863264,Fail,2.889948258,Rail,Route A,930.8973226
haircare,SKU127,95.99253691,66,114,7645.132235,Non-binary,72,10,31,4,Carrier B,5.174750917,Supplier 4,Kolkata,17,166,16,17.13434933,Fail,2.951507717,Road,Route B,414.5068753
haircare,SKU128,89.7093125,105,518,7389.973174,Unknown,5,27,57,5,Carrier C,2.335454612,Supplier 5,Bangalore,19,785,22,10.01729539,Pass,2.977656709,Sea,Route A,157.2950344
skincare,SKU129,24.10488045,28,459,4304.921565,Non-binary,65,12,96,12,Carrier A,0.571414343,Supplier 1,Kolkata,14,853,22,41.93291923,Pending,3.702223191,Sea,Route A,676.0551679
cosmetics,SKU130,41.57368069,74,230,4021.144042,Male,36,8,53,7,Carrier B,7.721393138,Supplier 1,Kolkata,19,359,12,38.92080945,Pending,0.064926848,Road,Route A,420.926553
cosmetics,SKU131,66.72810755,20,639,4819.038844,Non-binary,64,8,89,2,Carrier C,6.174848121,Supplier 3,Bangalore,18,162,10,1.195714504,Pass,1.631074362,Air,Route B,331.6587822
haircare,SKU132,81.60264591,58,301,5961.829561,Female,96,18,90,8,Carrier B,2.870580411,Supplier 1,Kolkata,15,777,11,44.88238972,Pass,1.6557896,Rail,Route B,266.8176654
skincare,SKU133,12.29742325,91,246,6850.325341,Non-binary,15,23,27,7,Carrier A,4.801514163,Supplier 4,Delhi,11,718,29,31.04946511,Fail,2.735776473,Sea,Route C,490.8244574
cosmetics,SKU134,73.47142166,44,138,11914.11538,Female,26,24,49,1,Carrier B,4.372641964,Supplier 5,Mumbai,17,938,20,9.13592132,Pending,5.359765778,Rail,Route A,94.75694461
skincare,SKU135,2.608369119,50,433,6699.96458,Unknown,72,20,40,7,Carrier C,6.690514089,Supplier 3,Kolkata,16,936,1,39.12465312,Fail,2.061588692,Air,Route B,1109.140776
haircare,SKU136,5.643846388,32,355,3123.462389,Unknown,53,22,57,4,Carrier C,6.201770638,Supplier 1,Chennai,11,993,20,52.21011897,Fail,1.760032423,Air,Route C,772.6364493
haircare,SKU137,74.57404598,14,395,6494.384922,Non-binary,68,11,20,8,Carrier B,9.224547631,Supplier 2,Delhi,19,343,17,18.93416503,Fail,1.7418299,Air,Route B,356.4809536
haircare,SKU138,71.645022,11,154,6520.531521,Unknown,96,34,25,6,Carrier A,4.106529395,Supplier 1,Delhi,16,473,28,21.55482826,Pending,1.601791518,Sea,Route A,572.0749322
haircare,SKU139,43.96402605,11,472,3227.728105,Female,46,8,9,5,Carrier C,4.652116718,Supplier 5,Mumbai,12,416,17,105.8895597,Pending,3.126231669,Rail,Route B,566.3486571
